24-03-2026 19:58:52 | POST | cafeteria-api/categorias
24-03-2026 20:00:36 | POST | cafeteria-api/categorias
24-03-2026 20:05:53 | POST | cafeteria-api/categorias
27-03-2026 17:50:23 | GET | cafeteria-api/categorias
27-03-2026 17:50:29 | GET | cafeteria-api/categorias
27-03-2026 19:29:39 | GET | cafeteria-api/categorias
27-03-2026 19:30:16 | GET | cafeteria-api/categorias
27-03-2026 19:31:48 | GET | cafeteria-api/categorias
27-03-2026 19:33:51 | GET | cafeteria-api/categorias
31-03-2026 14:38:59 | GET | cafeteria-api/categorias
31-03-2026 14:40:35 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:54 | GET | cafeteria-api/categorias
31-03-2026 14:41:27 | GET | cafeteria-api/categorias
31-03-2026 15:00:10 | GET | cafeteria-api/categorias
31-03-2026 15:39:57 | GET | cafeteria-api/categorias
31-03-2026 15:40:13 | GET | cafeteria-api/categorias
31-03-2026 15:42:56 | GET | cafeteria-api/categorias
31-03-2026 19:26:21 | GET | cafeteria-api/produtos
31-03-2026 19:26:29 | GET | cafeteria-api/produtos/1
31-03-2026 19:26:32 | GET | cafeteria-api/produtos/2
31-03-2026 19:27:28 | GET | cafeteria-api/produtos/2
31-03-2026 19:27:28 | GET | cafeteria-api/produtos/2
31-03-2026 19:27:28 | GET | cafeteria-api/produtos/2
31-03-2026 19:27:28 | GET | cafeteria-api/produtos/2
31-03-2026 19:27:29 | GET | cafeteria-api/produtos/2
31-03-2026 19:27:29 | GET | cafeteria-api/produtos/2
31-03-2026 19:27:29 | GET | cafeteria-api/produtos/2
31-03-2026 19:27:30 | GET | cafeteria-api/produtos/2
31-03-2026 19:27:30 | GET | cafeteria-api/produtos/2
31-03-2026 19:27:30 | GET | cafeteria-api/produtos/2
31-03-2026 19:27:30 | GET | cafeteria-api/produtos/2
31-03-2026 19:28:25 | GET | cafeteria-api/produtos
31-03-2026 19:28:27 | GET | cafeteria-api/produtos
31-03-2026 19:28:28 | GET | cafeteria-api/produtos
31-03-2026 19:28:28 | GET | cafeteria-api/produtos
31-03-2026 19:28:28 | GET | cafeteria-api/produtos
31-03-2026 19:28:29 | GET | cafeteria-api/produtos
31-03-2026 19:28:29 | GET | cafeteria-api/produtos
31-03-2026 19:28:29 | GET | cafeteria-api/produtos
31-03-2026 19:28:29 | GET | cafeteria-api/produtos
31-03-2026 19:28:36 | GET | cafeteria-api/produtos
31-03-2026 19:28:50 | GET | cafeteria-api/produtos/3
31-03-2026 19:28:51 | GET | cafeteria-api/produtos/3
31-03-2026 19:28:54 | GET | cafeteria-api/produtos/3
31-03-2026 19:28:54 | GET | cafeteria-api/produtos/3
31-03-2026 19:28:54 | GET | cafeteria-api/produtos/3
31-03-2026 19:28:54 | GET | cafeteria-api/produtos/3
31-03-2026 19:28:55 | GET | cafeteria-api/produtos/3
31-03-2026 19:28:55 | GET | cafeteria-api/produtos/3
31-03-2026 19:28:55 | GET | cafeteria-api/produtos/3
31-03-2026 19:28:55 | GET | cafeteria-api/produtos/3
31-03-2026 19:28:56 | GET | cafeteria-api/produtos/3
31-03-2026 19:28:56 | GET | cafeteria-api/produtos/3
31-03-2026 19:28:56 | GET | cafeteria-api/produtos/3
31-03-2026 19:28:56 | GET | cafeteria-api/produtos/3
31-03-2026 19:28:56 | GET | cafeteria-api/produtos/3
31-03-2026 19:28:57 | GET | cafeteria-api/produtos/3
31-03-2026 19:28:57 | GET | cafeteria-api/produtos/3
31-03-2026 19:28:57 | GET | cafeteria-api/produtos/3
31-03-2026 19:28:57 | GET | cafeteria-api/produtos/3
31-03-2026 19:29:11 | GET | cafeteria-api/categorias/3
31-03-2026 19:29:20 | GET | cafeteria-api/categorias/1
31-03-2026 19:29:21 | GET | cafeteria-api/categorias/1
31-03-2026 19:29:21 | GET | cafeteria-api/categorias/1
31-03-2026 19:29:21 | GET | cafeteria-api/categorias/1
31-03-2026 19:29:21 | GET | cafeteria-api/categorias/1
31-03-2026 19:45:25 | POST | cafeteria-api/produtos
31-03-2026 19:47:08 | POST | cafeteria-api/produtos
31-03-2026 19:47:41 | POST | cafeteria-api/produtos
31-03-2026 19:47:49 | POST | cafeteria-api/produtos
31-03-2026 19:48:10 | GET | cafeteria-api/produtos
31-03-2026 19:58:12 | GET | cafeteria-api/produtos
31-03-2026 19:59:33 | GET | cafeteria-api/produtos
31-03-2026 20:01:21 | GET | cafeteria-api/produtos
31-03-2026 20:03:26 | GET | cafeteria-api/produtos
31-03-2026 20:03:28 | GET | cafeteria-api/produtos
31-03-2026 20:04:28 | GET | cafeteria-api/produtos
31-03-2026 20:05:50 | GET | cafeteria-api/produtos
31-03-2026 20:07:06 | GET | cafeteria-api/produtos
31-03-2026 20:07:16 | GET | cafeteria-api/produtos
31-03-2026 20:07:19 | OPTIONS | cafeteria-api/produtos/3
31-03-2026 20:07:19 | DELETE | cafeteria-api/produtos/3
31-03-2026 20:07:19 | GET | cafeteria-api/produtos
31-03-2026 20:15:54 | GET | cafeteria-api/produtos
31-03-2026 20:23:39 | GET | cafeteria-api/produtos
31-03-2026 20:23:50 | POST | cafeteria-api/produtos
31-03-2026 20:23:50 | GET | cafeteria-api/produtos
31-03-2026 20:24:32 | OPTIONS | cafeteria-api/produtos/4
31-03-2026 20:24:32 | DELETE | cafeteria-api/produtos/4
31-03-2026 20:24:32 | GET | cafeteria-api/produtos
31-03-2026 20:25:20 | POST | cafeteria-api/produtos
31-03-2026 20:25:20 | GET | cafeteria-api/produtos
